Word,Category
accident,accident
accidents,accident
wreckage,accident
wreck,accident
collision,accident
crash,accident
crashs,accident
crashes,accident
ajali,accident
magari zmegongana,accident
zimecrash,accident
zilicrash,accident
disaster,accident
hazard,accident
pileup,accident
fender-bender,accident
fender bender,accident
smash,accident
smashed,accident
axident,accident
fatality,accident
mishap,accident
injuries,accident
injury,accident
incident,accident
incidents,accident
emergency,accident
hit,accident
fatal,accident
damage,accident
tow,accident
hit-and-run,accident
be careful,accident
careful,accident
care,accident
