"","DATE","DAY","TIME 24 HOURS","BASE/SUB BASE","COUNTY","ROAD","PLACE","TYPE OF VEHICLE","BRIEF ACCIDENT DETAILS","GENDER","AGE","CAUSE CODE","VICTIM","NO.","id"
"1",2017-05-01,"MONDAY","2040","STAREHE","NAIROBI","JUJA ROAD","JONSAGA","PRIVATE","HIT A PEDESTRIAN","M","A",26,"PED",1,"5_20170501_20171231"
"2",2017-05-01,"MONDAY","1000","RUIRU","KIAMBU","THIKA SUPERHIGHWAY","KIMBO","PRIVATE & MOTOR CYCLE","LOST CONTROL OF THE MOTOR CYCLE SUSTAINING SERIOUS INJURIES WHICH CAUSED HIS DEATH","M","21",8,"MCY",1,"8_20170501_20171231"
"3",2017-05-02,"TUESDAY","UNKNOWN","JUJA","KIAMBU","THIKA SUPERHIGHWAY","KENYATTA GATUNDU JUNCTION","PRIVATE","DRIVER LOST CONTROL HITTING PAVEMENT WHERE HE DIED ON THE SPOT","M","30",98,"DRV",1,"11_20170501_20171231"
"4",2017-05-02,"TUESDAY","UNKNOWN TIME","MURANGA","MURANGA","KENOL- MURANGA","MAMBO LEO AREA","UNKNOWN","M/V KNOCKED DOWN M/A PEDESTRIAN KILLING HIM ON THE SPOT","F","27",98,"PED",1,"15_20170501_20171231"
"5",2017-05-02,"TUESDAY","2300","ATHI RIVER","MACHAKOS","MOMBASA- NAIROBI","NEAR MLOLONGO WEIGH BRIDGE","MOTOR CYCLE","M/CYCLIST ON REACHING AT THE SAID PLACE HIT A STONE AND LOST CONTROL WHERE HE LANDED INTO A DITCH AND DIED ON THE SPOT","M","49",48,"MCY",1,"16_20170501_20171231"
"6",2017-05-03,"WEDNESDAY","UNKNOWN","LIMURU","KIAMBU","NAIROBI-NAIVASHA","KAMANDURA AREA","UNKNOWN","HIT & RUN","M","A",98,"PED",1,"17_20170501_20171231"
"7",2017-05-03,"WEDNESDAY","630","ATHI RIVER","MACHAKOS","MOMBASA- NAIROBI","MAANZONI AREA","COMMERCIAL","HEAD ON COLLISION","M&F","A",11,"DRV",1,"18_20170501_20171231"
"8",2017-05-03,"WEDNESDAY","630","ATHI RIVER","MACHAKOS","MOMBASA- NAIROBI","MAANZONI AREA","COMMERCIAL","HEAD ON COLLISION","M&F","A",11,"PAS",1,"19_20170501_20171231"
"9",2017-05-03,"WEDNESDAY","1340","MATUU","MACHAKOS","MATUU-THIKA","NEAR MATUU POLICE STATION","PSV & MOTOR CYCLE","THE VEHICLE RAMMED INTO THE REAR OF M/CYCLE","F","52",29,"PIL",1,"20_20170501_20171231"
"10",2017-05-03,"WEDNESDAY","1610","ONGATA RONGAI","KAJIADO","KISERIAN - RONGAI","KWARE AREA","MOTOR CYCLE & PRIVATE","HEAD ON COLLISION","M","27",26,"PIL",1,"21_20170501_20171231"
"11",2017-05-05,"FRIDAY","638","INDO AREA","NAIROBI","MOMBASA","NEAR STANDARD GROUP","MOTOR CYCLE","THE UNKNOWN M/V RAMMED INTO THE REAR OF M/CYCLE","M","30",29,"MCY",1,"27_20170501_20171231"
"12",2017-05-05,"FRIDAY","1130","KAYOLE","NAIROBI","SOWETO ROAD","NEAR NAIROBI RIVER BRIDGE","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","F","7",98,"PED",1,"30_20170501_20171231"
"13",2017-05-06,"SATURDAY","1300","KAYOLE","NAIROBI","KANGUNDO","CHOKAA","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","22",26,"PED",1,"35_20170501_20171231"
"14",2017-05-06,"SATURDAY","1600","KIRIANI","MURANGA","KIRIANI-MIRIO","GATUNGURU","MOTOR CYCLE & COMMERCIAL","HEAD ON COLLISION","M","A",26,"MCY",1,"36_20170501_20171231"
"15",2017-05-06,"SATURDAY","1130","KAYOLE","NAIROBI","SOWETO ROAD","NEAR NAIROBI RIVER BRIDGE","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","F","7",98,"DRV",1,"37_20170501_20171231"
"16",2017-05-06,"SATURDAY","100","KITENGELA","KAJIADO","ISINYA-KITENGELA","ACACIA","UNKNOWN","HIT & RUN","M","A",98,"PED",1,"39_20170501_20171231"
"17",2017-05-08,"MONDAY","800","KAYOLE","NAIROBI","KANGUNDO ROAD","NEAR NJIRU","UNKNOWN","M/V KNOCKED DOWN A M/A PEDESTRIAN KILLING HIM ON THE SPOT","M","28",98,"PED",1,"47_20170501_20171231"
"18",2017-05-08,"MONDAY","300","KAREN","NAIROBI","EASTERN BY- PASS","MOMBASA ROAD JUNCTION","PRIVATE & COMMERCIAL","M/V DRIVER RAMMED INTO THE REAR OF THE SAID LORRY AND THE WISH DIED.","M","A",98,"DRV",1,"48_20170501_20171231"
"19",2017-05-08,"MONDAY","1545","LANGATA","NAIROBI","LANGATA ESTATE","NEAR DAM ESTATE","PSV","M/V DRIVER KNOCKED DOWN A M/JUVENILE PEDESTRIAN WHO DIED ON THE WAY TO THE HOSPITAL.","M","11",63,"PED",1,"51_20170501_20171231"
