rowid,tweet,origCategory,Hour,Month,Weekday,Year,date,newCategory
1, How is outering Road? ,NA,14,10,Thursday,2017,10/19/17,NA
2, Mombasa Road from Cabanas to GM moving slowly ,NA,14,10,Thursday,2017,10/19/17,NA
3, usual 50kph congregation at Nairobi School outbound. ,NA,14,10,Thursday,2017,10/19/17,NA
4, Once upon a time...na saa hio ni Christmas Day na tape ni ya jirani...butterflies  ,NA,14,10,Thursday,2017,10/19/17,NA
5," A breakdown is on its side, outside Uhuru Gardens on Langata ",NA,14,10,Thursday,2017,10/19/17,NA
6, Msa rd inbound and outbound Mambo inakaa difficult small  ,NA,15,10,Thursday,2017,10/19/17,NA
7, Appreciating this guys...the hustle is real! In other news.. momb ,NA,15,10,Thursday,2017,10/19/17,NA
8, Mombasa Road is clear no traffic if your heading to airport. ,NA,15,10,Thursday,2017,10/19/17,traffic
9," speed cops after AP utawala ,(inbound) maintain 50kmph ",NA,15,10,Thursday,2017,10/19/17,NA
10, Demonstration in town teargas canister all over avoid Kenyatta avenue uhuru park ,NA,15,10,Thursday,2017,10/19/17,NA
11, Teargas along Kenyatta avenue Nyerere avenue be careful ,NA,15,10,Thursday,2017,10/19/17,accident
12,"With guaranteed staying power, Chloride Exide Powerlast is the premium battery for drivers keen on reliability andâ€_ https://t.co/LPAa1JEPZ2",NA,15,10,Thursday,2017,10/19/17,NA
13, Mbagathi road outbound kameshikana. ,NA,15,10,Thursday,2017,10/19/17,NA
14, Langata road moving all the way up to Tmall.what a nice time to drive ,NA,15,10,Thursday,2017,10/19/17,NA
15, Today I saw a A grade idiot. Following ambulance and eventually hit someone's car from behind. Idiot with aromat. ,NA,15,10,Thursday,2017,10/19/17,accident
16, situation on Msa Rd. Wakamba wametoka ushago. Asii!  ,NA,15,10,Thursday,2017,10/19/17,NA
17, Herd of cows _Ÿê„_Ÿê„_Ÿê„ crossing Waiyaki Way near Safaricom. Traffic moo-ving slowly ,NA,16,10,Thursday,2017,10/19/17,traffic
18, EARLIER :Landhies road into town I wonder if Gov te ,NA,16,10,Thursday,2017,10/19/17,NA
19, University way round about jam building up. ,traffic,16,10,Thursday,2017,10/19/17,traffic
20," Crazy traffic on Enterprise and Likoni Rd junction.
Avoid at all cost. ",NA,16,10,Thursday,2017,10/19/17,traffic
21, - Mbagathi towards T-mall - Messed ,NA,16,10,Thursday,2017,10/19/17,NA
22, Traffic jam at the escarpment heading towards Mai Mahiu!! Standstill.  ,traffic,16,10,Thursday,2017,10/19/17,traffic
24, #KCJ745X Kenya Mpya bus blockin munyu rd for 20 minutes  ,NA,16,10,Thursday,2017,10/19/17,NA
25, I still don't understand why Kenyan drivers don't make use of indicators!! ,NA,16,10,Thursday,2017,10/19/17,NA
26, how is Mombasa Road ,NA,16,10,Thursday,2017,10/19/17,NA
27, How si enterprise rd ,NA,16,10,Thursday,2017,10/19/17,NA
28, #GKB956K do GK cars have overlapping immunity? on 2nd Parklands #kot  ,NA,16,10,Thursday,2017,10/19/17,NA
29," #NgongRoad at #TheJunction
How do you run lanes paintwork during rush hour, with rain on the way? ",rain,16,10,Thursday,2017,10/19/17,rain
30, Have you ever seen a GK vehicle arrested and being taken to a police stat ,NA,16,10,Thursday,2017,10/19/17,NA
31, Is this handle active do they ever respond to any tweet?? if they do whats the response rate 2yrs?? ,NA,16,10,Thursday,2017,10/19/17,NA
32, Argwings kodhek ilirogwa Na nani coz jam haiishi? ,traffic,17,10,Thursday,2017,10/19/17,traffic
33, dedicated to all slay queens  ,NA,17,10,Thursday,2017,10/19/17,NA
34, Awful traffic mess on Nanyuki and Lungalunga Roads The overlapping sickos are making thinks harder. ,NA,17,10,Thursday,2017,10/19/17,traffic
35, What's causing the snarl up at Langata Road inbound? ,NA,17,10,Thursday,2017,10/19/17,NA
36, ojijo road into westlands is a mess. 1St parklands avenue too ,NA,17,10,Thursday,2017,10/19/17,traffic
37," awful traffic on Ngong Road! we ain't moving at all,I shld start walking coz that's the only way forward ",NA,17,10,Thursday,2017,10/19/17,traffic
38," Mombasa road, inbound and outbound looks mad.... Especially at this airtel area ",NA,17,10,Thursday,2017,10/19/17,NA
39, Traffic gitanga -james gichuru junction road construction assurance diversion ,traffic,17,10,Thursday,2017,10/19/17,traffic
40, Traffic Update: _Ÿ__ Thika Superhighway at Drive Inn towards Survey.  ,NA,17,10,Thursday,2017,10/19/17,traffic
41, maii mahiu-escarpment: Nairobi bound drivers advising to turn use Naivasha route! ,NA,17,10,Thursday,2017,10/19/17,NA
42, Situation on Ngong Road? ,NA,16,10,Saturday,2017,10/28/17,NA
43," Traffic Update: Thika superhighway at Utalii, clear. Drizzles_ŸŒ§  ",NA,17,10,Thursday,2017,10/19/17,traffic
44, Traffic Update: Muthaiga  ,NA,17,10,Thursday,2017,10/19/17,traffic
45, Ojijo road and shivachi road is heavy with traffic ,NA,17,10,Thursday,2017,10/19/17,traffic
46, 1hr 30mins from Kenyatta avenue to haile selasie and counting! ,NA,17,10,Thursday,2017,10/19/17,NA
47, corruption of traffic police is the major cause o ,NA,17,10,Thursday,2017,10/19/17,traffic
48,   What is the problem with maimahiu escarpment huge traffic ,NA,17,10,Thursday,2017,10/19/17,traffic
49, #KBL053E Let's make this matatu driver famous  ,NA,17,10,Thursday,2017,10/19/17,NA
50, nikudiambo bunyala round about ,NA,17,10,Thursday,2017,10/19/17,NA
51, Mombasa road traffic ,NA,17,10,Thursday,2017,10/19/17,traffic
52, I support! keep left unless overtaking....lane discipline on the highway ,NA,17,10,Thursday,2017,10/19/17,NA
53," please say something about the delay in DLs coming out, this is the fourth week ",NA,17,10,Thursday,2017,10/19/17,NA
54, Mombasa road heading to mlolongo is nuts ,NA,17,10,Thursday,2017,10/19/17,NA
55," thika road is smooth
",NA,17,10,Thursday,2017,10/19/17,NA
56, hiyo ni pangi or maybe ako na shida ya majo ,NA,17,10,Thursday,2017,10/19/17,NA
57, 'Big Rain' is threatening at Riruta- inafanya press-ups! ,rain,17,10,Thursday,2017,10/19/17,rain
58," just asking,why is Mombasa rd between KIMC and imara daima outbound always messy? ",NA,17,10,Thursday,2017,10/19/17,NA
59, Uhuru Highway is standstill both ways ,NA,17,10,Thursday,2017,10/19/17,NA
60, Jam iko Likoni road ata sioni ikiisha ,traffic,17,10,Thursday,2017,10/19/17,traffic
61," Lusaka road is a no go zone, it's a parking lot ",NA,18,10,Thursday,2017,10/19/17,NA
62," In a noisy and tinted Mat that you can't tell the state of traffic or ur location, all u can feel is motion ",NA,18,10,Thursday,2017,10/19/17,traffic
63, how is Ngong road towards Junction ,NA,18,10,Thursday,2017,10/19/17,NA
64, Jam imeshika even a Lexus has to wait  ,traffic,18,10,Thursday,2017,10/19/17,traffic
65, in fact waiting for DL is becoming like waiting for the ,NA,18,10,Thursday,2017,10/19/17,NA
66, what's up around Airtel??? And how is Mombasa road towards Imara Daima ,NA,18,10,Thursday,2017,10/19/17,NA
67, Mombasa rd at green park estate towards SGR Athi river traffic is flowing smoothly both lines  ,NA,18,10,Thursday,2017,10/19/17,traffic
68, uhuru hwy inbound not moving. Stuck at kbc for 1hr ,NA,18,10,Thursday,2017,10/19/17,NA
69, #GKA483H The law makers overlapping  ,NA,18,10,Thursday,2017,10/19/17,NA
70, Nowadays I am seeing less and less garbage since the Polythene Bags Ban. Kudos  ,NA,18,10,Thursday,2017,10/19/17,NA
71, Mombasa rd at steel plant Athi river  ,NA,18,10,Thursday,2017,10/19/17,NA
72, I wonder too. The number of accidents they cause on Msa Road is a concern.  ,accident,18,10,Thursday,2017,10/19/17,accident
73, kayole slay queens ushonelewa weave nusu kichwa mtaani nikurusha tu nywele but nyuma hakuna chochote ,NA,18,10,Thursday,2017,10/19/17,NA
74, Traffic on likoni and Lunga Lunga roads tighter than Wanjigis doors. Avoid ,NA,18,10,Thursday,2017,10/19/17,traffic
75," baraka road is at complete standstill, engines shut down. Mess at the bridge ",NA,18,10,Thursday,2017,10/19/17,traffic
76, Assist Kenyans by doing your job properly. Over 3000 Kenyans killed by rogu ,NA,18,10,Thursday,2017,10/19/17,NA
77, Bad accident at KINARI on Nairobi-naivasha hghway blocking both ways..several people injured..but there's police at site ,accident,18,10,Thursday,2017,10/19/17,accident
78, sgr devik Athi river  ,NA,18,10,Thursday,2017,10/19/17,NA
79, I once asked a traffic policeman. how can they break laws and expect u ,NA,18,10,Thursday,2017,10/19/17,traffic
80, unaenda kuguza wallet pale moi avenue unaambiwa thao unamuuliza alafu nikinunua niwekee nini smh ,NA,18,10,Thursday,2017,10/19/17,NA
81, What's happening on waiyaki way headed to university way? ,NA,18,10,Thursday,2017,10/19/17,NA
82, what's up on Uhuru Highway? ,NA,18,10,Thursday,2017,10/19/17,NA
83, lunga lunga road traffic moving slowly all the way roundabout joining likoni road  ,NA,18,10,Thursday,2017,10/19/17,traffic
84, Forest rd slow from Jcc towards Museum... Limuru rd from Stima outbound mwendo ni wa konokono ,NA,18,10,Thursday,2017,10/19/17,NA
85, how's Ngong road now? ,NA,18,10,Thursday,2017,10/19/17,NA
86, Waiyaki Way towards town moving slowly. ,NA,18,10,Thursday,2017,10/19/17,NA
87," Watu wengi wanathani Leo ni Friday kumbe ni #MashujaaEve ,, Mombasa Road both sides crazy ",NA,18,10,Thursday,2017,10/19/17,NA
88, Harambee ave not moving.... towards Moi Ave.... any info as so what is happening ah ,NA,18,10,Thursday,2017,10/19/17,NA
89," Exactly. Even on highways, it's no wonder seeing slow vehicles n trucks  ",NA,18,10,Thursday,2017,10/19/17,NA
90, near weighing bridge (sijui kunaitwa vipi apo) from Juja ni matatizo  ,NA,18,10,Thursday,2017,10/19/17,NA
91, Manual control manenos at Railway station round about is causing mega mess today. H ,NA,18,10,Thursday,2017,10/19/17,traffic
92," Uhuru Highway, My God! About to clock an hour in this traffic. _Ÿ˜  CX ",NA,18,10,Thursday,2017,10/19/17,traffic
93, Traffic Update: Uhuru Highway at 6:30pm &amp; Happy #MashujaaDay from Tower  ,NA,18,10,Thursday,2017,10/19/17,traffic
94, How is ngong road traffic looking? ,NA,18,10,Thursday,2017,10/19/17,traffic
95, Haille Selasie Avenue towards Landies Road is equally a big mess. ,NA,18,10,Thursday,2017,10/19/17,traffic
96, How is ngong road now ,NA,18,10,Thursday,2017,10/19/17,NA
97, Watu wa mtandao how is Thika Rd? ,NA,18,10,Thursday,2017,10/19/17,NA
98, get someone to explain in detail why water pouring from the sky causes crazy jam in Nairobi. ,traffic,18,10,Thursday,2017,10/19/17,traffic
99, Ladhies out of town     moving slowly but it's a parking bay entering town.  This affects Lusaka rd towards Jogoo rd ,NA,18,10,Thursday,2017,10/19/17,NA
100, how is Thika Rd? Especially around Witethie towards Nairobi. ,NA,18,10,Thursday,2017,10/19/17,NA
101, Whenever I leave house &amp; go back I ALWAYS thank God.Our roads are fatal.Flash ,NA,18,10,Thursday,2017,10/19/17,accident
102, pumber to pumber towards heading chiromo.  ,NA,18,10,Thursday,2017,10/19/17,NA
103,  ,NA,18,10,Thursday,2017,10/19/17,NA
104, Those on Jogoo road into town from Maziwa/Kaloleni area can enjoy naps.  It's a dead jam. ,traffic,18,10,Thursday,2017,10/19/17,traffic
105, No traffic at ngong road ,NA,18,10,Thursday,2017,10/19/17,traffic
106, Jogoo Rd near City Stad imeshikana though moving slowly. ,NA,19,10,Thursday,2017,10/19/17,NA
107, The jam that is #KenyattaAvenue inbound! We need an overpass! ,traffic,19,10,Thursday,2017,10/19/17,traffic
108, I can write a thesis on Mombasa road traffic..._Ÿ˜_ ,NA,19,10,Thursday,2017,10/19/17,traffic
109, waiyaki way from town hakuna jam....but headed to town there's a bit of it. ,traffic,19,10,Thursday,2017,10/19/17,traffic
110, All roads leading towards South B is a bumper -to- bumper.. entry to Mater Hospital blocked !! ,traffic,19,10,Thursday,2017,10/19/17,traffic
111, Jst saw cops chasing after a PSV thru the streets of Parklands. Eventually the rogue mat wa ,NA,19,10,Thursday,2017,10/19/17,NA
112, #TrafficWatch - Driving while using a cell phone reduces the ,NA,19,10,Thursday,2017,10/19/17,NA
113, accident past kijabe Nairobi Naivasha road ,accident,19,10,Thursday,2017,10/19/17,accident
114," Heavy traffic on Langata rd frm Nyayo 2Carnivore
And
frm Langata stage area 2Carnivore ",traffic,19,10,Thursday,2017,10/19/17,traffic
115, Traffic on Mbagathi way frm Kenyatta Hs Rnd-abt 2Tmall Rnd-abt ,NA,19,10,Thursday,2017,10/19/17,traffic
116, Heavy traffic on Southern bypass frm Mombasa rd area 2 Lungalunga rd junction ,traffic,19,10,Thursday,2017,10/19/17,traffic
