"","id","tweet","accident_truth","latitude_truth","longitude_truth","street_name_c1","street_name_c2","landmark_c1","landmark_c2"
"1","ma3map_scraped_2407","06:51 Accident at Garden Estate next to Mountain Mall involving two personal cars. Cops already at the scene via @Mukanga","Yes",-1.232427,36.873744,"None","None","Mountain mall","Mountain Mall"
"2","ma3map_scraped_2410","06:49 Accident on Thika road outside traffic headquarters involving a githurai bus. via @wakariowa","Yes",-1.254323,36.85761,"Thika Road","Thika Road","Traffic headquaters","Traffic headquaters"
"3","ma3map_scraped_2425","22:17 It's flooded in Ngong, heavy rains since 5pm. Take care guys. via @H_Kameta","No",NA,NA,NA,NA,NA,NA
"4","ma3map_scraped_2439","20:02 #KBP254K Earlier today this car, driven by a mad person, almost hit us.I was a passenger on a Boda Boda. It had a siren on. @PoliceKE @ntsa_kenya we have allowed every maniac in senior government  https://t.co/25OY7n7yRf https://t.co/T3FMM6hH4z via @bonifacemwangi","No",NA,NA,NA,NA,NA,NA
"5","ma3map_scraped_2491","16:36 The Mai Mahiu bus accident scene where 5 people are feared dead.  https://t.co/LP4iXGyBb2 via @ThikaTowntoday","Yes",NA,NA,"None","None","None","Mai Mahiu"
"6","ma3map_scraped_2493","16:28 Accident thika road #Goteana #1FMDriveWithCateRira #MbusiiNaLionTekeTeke         @theCateRira  https://t.co/Y9iRoZY4MO via @PRSA_Roadsafety","Yes",NA,NA,"Thika Road","Thika Road","None","None"
"7","ma3map_scraped_2506","14:41 @ThikaTowntoday Whats the motive of causing the multiple accidents? via @rickinyanjui","No",NA,NA,NA,"None",NA,"Thika Town"
"8","ma3map_scraped_2516","14:07 Accident on Kenyatta Avenue around the intersection joining Moi Avenue opposite Naivas supermarket  https://t.co/Vex13Q8gt9 via @AdvocateEdgar","Yes",-1.2832545,36.8235505,"Kenyatta Avenue;Moi Avenue","Kenyatta Avenue,Moi Avenue","Naivas Supermarket","Naivas Supermarket"
"9","ma3map_scraped_2541","12:16 Accident at Kinungi btn a Northways mat and a personal car. Personal totaled. Police on site evacuating and directing traffic. via @WaruguruMwaura","Yes",-0.805729,36.532477,"None","None","Kinungi","Kinungi"
"10","ma3map_scraped_2572","10:52 Imagine traveling at 100km/hr and see a piece of log flying off the back of a truck into your windshield. Or being hit by a driver who swerved to avoid a piece of furniture on the road. Sound like frea https://t.co/1AAAkkZdBM https://t.co/jBsiitfXPf via @Chomtweet","No",NA,NA,NA,"None",NA,"None"
"11","ma3map_scraped_2580","10:44 Ayee @ntsa_kenya is it you guys that allowed these Miraa Traders on Probox to Fly on our Roads?;These guys do not ride on anything less of 180KPH

Its always a disaster in waiting via @HezMureithi","No",NA,NA,NA,NA,NA,NA
"12","ma3map_scraped_2624","08:46 #KCJ858C Please share and help me get this idiot who just hit me while overlapping on Bunyala road then said there is nowhere i can take him before fleeing. He is insured by Kenya Alliance Insurance @PoliceKE  https://t.co/hmBkiUMqkA via @Chinyonyi","Yes",-1.299545,36.824738,"Bunyala road","Bunyala Road","None","None"
"13","ma3map_scraped_2656","08:09 Traffic building up outside Naivas Doni .Due to an accident between a city bus and a clean water lorry via @ekkathenya","Yes",-1.2957905,36.886901,"None","None","Naivas Doni (Naivas Donholm)","Outside Naivas Donholm"
"14","ma3map_scraped_2672","07:44 accident at the junction total petrol station on kapiti rd  https://t.co/PZav4fZYT8 via @litedjlubash","Yes",-1.310409,36.837332,"kapiti rd","Kipiti Road","total petrol station junction","junction total petrol station"
"15","ma3map_scraped_2698","07:04 The higher the speed of the vehicle, the higher the risk of injury and death for pedestrians  https://t.co/6GXUAzdzBE via @Chomtweet","No",NA,NA,NA,NA,NA,NA
"16","ma3map_scraped_2708","06:58 An accident just before the airport leaving town (on Mombasa rd). A pedestrian has been hit by a Prado. Life's too short. via @RookieKE","Yes",-1.343995,36.902578,"Mombasa rd","Mombasa Road","airport","just before the airport leaving town"
"17","ma3map_scraped_2710","06:55 accident at msa road at libra house. Motorbike  police on site via @kamakya_moses","Yes",-1.330991,36.8664425,"msa road (Mombasa road)","Mombasa Road","libra house","Libra house"
"18","ma3map_scraped_2714","06:47 heavy traffic along Naivasha - Nairobi h/w due to an accident at Rironi. Approach with Caution  https://t.co/kdR3QGWCft via @samuelkamau39","Yes",-1.145417,36.637411,"Naivasha-Nairobi highway","Naivasha-Nairobi highway","Rironi","Rironi"
