"","id","tweet","accident_truth","latitude_truth","longitude_truth","street_name_c1","street_name_c2","landmark_c1","landmark_c2"
"1","categorizedTweets11_22_2017_1002","Heavy Rain in Ngong rd. Drive carefully and keep distance to front car. via Soares","No",NA,NA,"Ngong road","Ngong road.","None","None"
"2","categorizedTweets11_22_2017_1004","Mombasa rd at sgr devik Athi river towards mlolongo traffic is flowing smoothly","No",NA,NA,"Mombasa rd","Mombasa road","devki Athi river","sgr devik Athi river;mlolongo"
"3","categorizedTweets11_22_2017_1008","Y'all f*ckin crazy!!!!!!   why we paying thrice as much fare? Kwani ngong imeenda TZ?
Tf 250 from 50?","No",NA,NA,"None","None","None","Ngong"
"4","categorizedTweets11_22_2017_1010","Panick shopping mode here Naivas Ruaraka.. Empty fresh milk","No",-1.247298667,36.8728685,"None","None","Naivas Ruaraka","Naivas Ruaraka"
"5","categorizedTweets11_22_2017_1011","Eastern bypass jam near Tuskys Embakasi is crazy!! Kwani what's happening???","No",NA,NA,"Eastern bypass","Eastern bypass","Tuskys Embakasi","near Tuskys Embakasi"
"6","categorizedTweets11_22_2017_1014","kimma SACCO nikielekea kitengela tuko behaved","No",NA,NA,"None","None","None","None"
"7","categorizedTweets11_22_2017_1017","Just been hit by Mungiki in USA marine shirts along jogoo road but it's fine, you will","No",NA,NA,"Jogoo road","jogoo road","None","None"
"8","categorizedTweets11_22_2017_1018","Innovative Kenya...making two lanes into three","No",NA,NA,"None","None","None","None"
"9","categorizedTweets11_22_2017_1020","Kuna mtu alikuwa anashuka Mulley's supermarket hapo mombasa road but amekuwa akisema","No",NA,NA,"mombasa road","mombasa road","Mulley's supermarket","Mulley's supermarket"
"10","categorizedTweets11_22_2017_1022","The aftermath","No",NA,NA,"None","None","None","None"
"11","categorizedTweets11_22_2017_1024","Habari ndio hii sasa na siringi.time:7am..7.03..job done na kwenda home","No",NA,NA,"None","None","None","None"
"12","categorizedTweets11_22_2017_103","Those on Jogoo road into town from Maziwa/Kaloleni area can enjoy naps.  It's a dead jam.","No",NA,NA,"Jogoo road","Jogoo road","None","Maziwa/Kaloleni area"
"13","categorizedTweets11_22_2017_104","No traffic at ngong road","No",NA,NA,"Ngong road","ngong road","None","None"
"14","categorizedTweets11_22_2017_111","#TrafficWatch - Driving while using a cell phone reduces the","No",NA,NA,"None","None","None","None"
"15","categorizedTweets11_22_2017_118","Go to south b between mater and the shopping centre","No",NA,NA,"None","None","Mater;Shopping centre","between mater and the shopping centre"
"16","categorizedTweets11_22_2017_1201","Accident at Peponi Road causing a snarl up","Yes",NA,NA,"Peponi Road","Peponi Road","None","None"
"17","categorizedTweets11_22_2017_130","20:55   we wont sleep today because of fireworks around parklands. It is not right via","No",NA,NA,"None","None","None","around parklands"
"18","categorizedTweets11_22_2017_14","Langata road moving all the way up to Tmall.what a nice time to drive","No",NA,NA,"Langata road","Langata road","Tmall","Tmall"
"19","categorizedTweets11_22_2017_140","come slowly hapa southern bypass things ain't good","No",NA,NA,"Southern bypass","southern bypass","None","None"
"20","categorizedTweets11_22_2017_1429","Accident  on waiyaki way. Drive carefully","Yes",NA,NA,"Waiyaki way","waiyaki way","None","None"
"21","categorizedTweets11_22_2017_143","NTSA wako wapi I'm heading to naks via Langat","No",NA,NA,"None","None","None","None"
"22","categorizedTweets11_22_2017_144","sachangwan","No",NA,NA,"None","None","None","sachangwan"
